164,1,8,18,6
168,1,9,24,6
180,5,9,7,8
191,7,8,17,6
183,6,8,29,6
176,5,10,47,8
153,5,8,56,8
181,10,7,2,6
157,6,8,46,6
183,2,7,1,8
176,3,9,1,4
163,3,7,53,7
165,5,7,78,9
170,7,6,22,4
185,1,8,31,9
180,3,6,68,8
175,3,7,25,7
176,5,10,64,4
196,4,4,99,3
183,2,5,47,6
174,2,7,44,5.5
186,2,3,4,4
178,6,5,69,7
173,3,5,72,5.5
180,3,8,27,4
171,3,7,97,7
183,5,7,23,9
185,8,7,66,6
170,5,6,66,7
175,5,7,2,6.5
180,8,7,28,5
172,3,6,37,4
182,4,9,1,6
178,6,3,7,6.5
176,3,8,81,7.5
152,2,3,12,6
174,1,8,88,6
176,2,10,4,8
188,5,5,5,6
180,8,8,1,7
173,5,5,36,6
180,5,10,96,5.5
182,8,9,13,7
166,8,9,9,6
180,6,5,26,6
179,8,10,14,4
179,9,9,99,7
